#Selection name: Selection 1
#Area (µm^2): 693778.57
Cell ID,Cluster,Transcripts,Area (µm^2)
afppmdki-1,Cluster 15,102,46.86
hbidkgfd-1,Cluster 1,22,12.40
hbifjjfl-1,Cluster 6,103,74.25
hbiepknh-1,Cluster 6,121,59.29
hbfhkkgd-1,Cluster 14,139,77.75
hbfigjhm-1,Cluster 6,161,95.78
afpkjoob-1,Cluster 6,83,53.06
hbieockj-1,Cluster 6,76,50.28
agaemmmo-1,Cluster 8,83,48.64
hbifknnn-1,Cluster 15,164,64.29
agadahaa-1,Cluster 6,105,48.29
ajfeemcl-1,Cluster 15,241,97.89
hbigcigf-1,Cluster 15,75,44.58
hbifckae-1,Cluster 8,179,86.14
hbiepbkl-1,Cluster 6,76,39.51
hbhflgda-1,Cluster 8,90,44.90
hbibmapb-1,Cluster 3,106,45.70
hbhjpgjj-1,Cluster 3,93,48.32
hbhnglhe-1,Cluster 1,65,22.67
hbhjndld-1,Cluster 15,149,47.55
hbhlmeee-1,Cluster 1,42,22.31
hbhnjfme-1,Cluster 2,133,70.42
hbfhpoml-1,Cluster 2,125,51.33
hbhpiada-1,Cluster 6,21,12.85
hbfjgafo-1,Cluster 6,144,92.16
hbhoklom-1,Cluster 1,95,49.61
agbbapia-1,Cluster 1,109,67.01
agbciikb-1,Cluster 2,80,41.24
ajeofoem-1,Cluster 2,88,39.94
hbhpjmkl-1,Cluster 1,106,64.31
hbheaajp-1,Cluster 24,63,28.83
hbidcnen-1,Cluster 1,43,18.81
hbibkbdp-1,Cluster 15,54,20.37
hbhenelc-1,Cluster 15,39,17.46
hbhepbcf-1,Cluster 2,168,69.38
afpnbgbl-1,Cluster 1,50,32.93
agahegjo-1,Cluster 8,141,87.31
agahimaj-1,Cluster 6,65,30.91
agacncdi-1,Cluster 1,57,23.88
afpnenfa-1,Cluster 1,80,52.86
afppdhfa-1,Cluster 6,67,40.52
agaaaijn-1,Cluster 3,232,101.44
agadoaji-1,Cluster 6,82,51.79
agaiaphp-1,Cluster 1,16,12.78
agadhkba-1,Cluster 6,96,58.17
afpnoakd-1,Cluster 8,71,42.89
agafgcog-1,Cluster 1,90,39.98
eeofiekn-1,Cluster 1,84,39.75
agafcmeg-1,Cluster 8,95,49.82
eeohkemi-1,Cluster 8,57,40.84
efomlfkd-1,Cluster 15,98,40.47
agacabni-1,Cluster 15,260,115.57
afpoieig-1,Cluster 3,131,63.22
afpklflk-1,Cluster 1,62,43.99
agadhpmg-1,Cluster 1,92,40.72
afppcjlk-1,Cluster 15,68,40.48
afpjpfng-1,Cluster 1,76,43.86
agaohhfi-1,Cluster 1,64,45.42
agbakcom-1,Cluster 1,49,28.18
afpkannn-1,Cluster 1,13,11.13
afphmbje-1,Cluster 1,99,68.56
afpipiln-1,Cluster 8,35,21.40
afpflekm-1,Cluster 2,91,43.90
agbalcac-1,Cluster 8,28,20.22
agbadlkl-1,Cluster 8,54,39.97
afphojde-1,Cluster 8,120,67.90
afpkjhlj-1,Cluster 1,48,24.49
efojegnm-1,Cluster 1,68,41.85
efohbdae-1,Cluster 8,123,40.45
efofmihj-1,Cluster 23,139,77.31
afphifjd-1,Cluster 8,36,29.38
afpfogpc-1,Cluster 1,34,16.47
afpiodem-1,Cluster 8,140,64.75
aganoplf-1,Cluster 1,187,115.67
afpgcpfh-1,Cluster 1,55,34.33
agaomani-1,Cluster 1,70,35.95
eegabgln-1,Cluster 1,64,39.29
eehecdfn-1,Cluster 6,130,66.15
eehbhkpj-1,Cluster 1,58,39.90
eeienjja-1,Cluster 15,85,56.43
eeidbmif-1,Cluster 2,171,64.19
eehcjibp-1,Cluster 2,89,35.01
eehegiem-1,Cluster 8,77,30.86
eehdbnmi-1,Cluster 15,120,62.50
eehgcplg-1,Cluster 14,166,62.63
eehepnno-1,Cluster 8,143,77.69
eegjmigo-1,Cluster 6,58,30.73
eegfnhfg-1,Cluster 2,54,28.07
eeglmdlb-1,Cluster 6,49,30.96
eegpaeef-1,Cluster 3,121,55.32
eegigffc-1,Cluster 2,179,93.86
eegmemii-1,Cluster 1,49,27.05
eeoigmka-1,Cluster 2,79,31.09
eeojiihg-1,Cluster 2,41,16.91
eeomcibi-1,Cluster 1,125,70.54
eeoipack-1,Cluster 2,59,24.59
eeomddjn-1,Cluster 2,113,51.45
eegfgoin-1,Cluster 23,103,53.54
eegmhhmj-1,Cluster 1,44,27.88
eegmeiog-1,Cluster 8,31,22.63
eegkopoa-1,Cluster 1,32,23.31
eegjjnij-1,Cluster 1,28,25.05
eegimelj-1,Cluster 1,97,55.43
eeghpjpl-1,Cluster 1,61,37.50
eehbbiok-1,Cluster 6,88,55.43
eegeommp-1,Cluster 1,90,63.62
eeeldapn-1,Cluster 13,71,62.63
eeihdocn-1,Cluster 6,40,49.16
eehgpjnd-1,Cluster 6,132,64.90
eeiieakn-1,Cluster 6,74,41.54
eehfonma-1,Cluster 6,118,86.53
eeeldimn-1,Cluster 17,33,30.48
eeenpill-1,Cluster 1,67,34.63
eeemkola-1,Cluster 2,74,56.39
eeemobnc-1,Cluster 2,40,26.76
eeemghce-1,Cluster 3,139,82.00
eehlbdja-1,Cluster 1,15,15.25
eeiclkcd-1,Cluster 13,131,75.36
eehcjchj-1,Cluster 2,39,33.04
eegojfno-1,Cluster 17,63,35.18
eegogjgf-1,Cluster 13,278,162.02
eegajnok-1,Cluster 13,150,68.60
eeieplkj-1,Cluster 6,81,50.60
eeggodpi-1,Cluster 13,204,103.28
eehbikmh-1,Cluster 2,46,18.86
eeghandl-1,Cluster 23,80,55.70
eehaehab-1,Cluster 2,32,28.08
eegmfiif-1,Cluster 23,100,61.08
efebjlan-1,Cluster 13,222,101.85
efeclogj-1,Cluster 1,42,23.67
efeajmia-1,Cluster 23,44,30.11
eeekpjbi-1,Cluster 13,138,81.00
efdpgkbh-1,Cluster 23,40,26.02
efeelojn-1,Cluster 13,230,91.96
efedgbpb-1,Cluster 13,270,103.65
efeaflbb-1,Cluster 13,167,96.02
eeheanei-1,Cluster 23,84,58.78
egdmbphi-1,Cluster 23,103,58.55
egdlphbn-1,Cluster 2,61,33.02
eefknpam-1,Cluster 8,83,38.22
eefonbcm-1,Cluster 1,97,44.59
eeofgela-1,Cluster 8,128,49.02
egdnbbep-1,Cluster 2,91,49.58
efonjmbj-1,Cluster 2,105,42.61
eefgogdp-1,Cluster 8,144,69.21
eefojdnn-1,Cluster 3,89,45.07
egdpibng-1,Cluster 2,53,26.51
eefjahif-1,Cluster 2,55,36.81
efojkhij-1,Cluster 1,22,10.65
eeohmaml-1,Cluster 8,91,46.48
eefobokg-1,Cluster 13,264,120.37
eefjdfli-1,Cluster 13,376,160.40
egdljnih-1,Cluster 23,52,38.18
eefkhjfi-1,Cluster 23,120,69.73
eefhbcoe-1,Cluster 23,33,30.57
egdnjdgp-1,Cluster 13,214,120.75
eefnopdl-1,Cluster 1,55,44.20
eefighhe-1,Cluster 1,62,47.39
eefdldpj-1,Cluster 23,53,32.87
eefjheln-1,Cluster 8,35,32.74
egdlccec-1,Cluster 23,85,48.47
egckelbf-1,Cluster 2,108,52.34
egddjgml-1,Cluster 2,156,88.07
egdkndjb-1,Cluster 17,122,51.98
egclalgb-1,Cluster 23,153,95.44
egdiabna-1,Cluster 13,73,35.36
egdlcjof-1,Cluster 17,103,44.87
egcjakdf-1,Cluster 2,77,40.90
egdhbcph-1,Cluster 13,84,62.61
efoigdad-1,Cluster 12,111,44.78
efoghidb-1,Cluster 2,63,35.64
egdlddni-1,Cluster 8,44,28.23
egdlacjl-1,Cluster 1,73,35.62
egcjgema-1,Cluster 1,60,32.33
egclhbih-1,Cluster 1,92,47.44
egdcdack-1,Cluster 2,33,17.32
egcjijip-1,Cluster 8,30,14.76
egdgnpgo-1,Cluster 1,41,21.20
egckfide-1,Cluster 1,35,15.90
egdiindb-1,Cluster 1,51,29.49
efldggof-1,Cluster 6,40,19.25
eflhfgdg-1,Cluster 23,71,50.94
eflgahlb-1,Cluster 1,37,29.74
eefgikkb-1,Cluster 23,89,57.25
egdmokkm-1,Cluster 24,67,36.56
egeahnbo-1,Cluster 1,71,35.41
eefjiemg-1,Cluster 13,250,124.42
eefjbbjh-1,Cluster 8,84,53.10
eefggjdo-1,Cluster 1,112,65.29
egdnjdaj-1,Cluster 1,154,73.39
eefhkfmg-1,Cluster 1,46,25.98
eegahkgk-1,Cluster 13,239,119.92
eflcbekp-1,Cluster 1,62,36.27
efdnppck-1,Cluster 1,27,25.85
efdnnion-1,Cluster 1,85,56.79
eflcojcg-1,Cluster 2,12,10.10
eflbcndi-1,Cluster 23,32,19.21
eflfajec-1,Cluster 24,54,32.21
eflhebdk-1,Cluster 1,28,17.50
eflfefbp-1,Cluster 24,92,61.21
eflhdebc-1,Cluster 1,68,44.00
egckolal-1,Cluster 15,136,59.30
egcofdmp-1,Cluster 15,152,54.77
egdlghpo-1,Cluster 6,90,55.18
egdhiffh-1,Cluster 6,100,42.19
egdhjlfd-1,Cluster 1,55,34.81
egdbpmcb-1,Cluster 1,53,27.62
egcmkgga-1,Cluster 1,35,28.03
egclbepg-1,Cluster 1,55,24.07
egckeklf-1,Cluster 1,21,9.64
egdklhik-1,Cluster 3,58,34.50
egdgeopn-1,Cluster 1,52,33.56
egddpoil-1,Cluster 15,125,50.24
eflekjme-1,Cluster 1,115,76.04
egpnkngo-1,Cluster 14,78,44.08
efkomlfa-1,Cluster 6,45,30.28
efkmjchm-1,Cluster 14,182,76.35
eflanchh-1,Cluster 14,180,88.59
eflekkpa-1,Cluster 8,113,71.28
ehaclhbc-1,Cluster 14,278,113.65
egdjhdnd-1,Cluster 2,98,55.43
egebbhbn-1,Cluster 1,33,23.80
hednigoi-1,Cluster 13,331,169.29
agcdiajm-1,Cluster 13,66,49.89
hchkakdl-1,Cluster 23,71,36.75
hbhgnojg-1,Cluster 17,63,52.04
hbhmhfdp-1,Cluster 2,90,57.78
hchmkpcj-1,Cluster 2,28,17.65
hchhogci-1,Cluster 8,117,67.03
hbfjonep-1,Cluster 3,107,58.48
hchpehag-1,Cluster 8,104,71.02
hbfikmnn-1,Cluster 6,110,70.26
hbhoibkk-1,Cluster 2,135,74.60
hchpcdlc-1,Cluster 12,146,71.20
hbfigmfi-1,Cluster 2,69,36.38
hbfkbhld-1,Cluster 1,67,35.43
hchlobhk-1,Cluster 23,65,42.47
agbhmlio-1,Cluster 23,63,45.74
agbjhjhm-1,Cluster 23,78,58.20
hchkchmb-1,Cluster 1,39,31.56
hbhdkpca-1,Cluster 1,59,41.26
hchlcjfn-1,Cluster 1,55,25.05
hchpefhb-1,Cluster 3,106,47.62
hchnjkei-1,Cluster 17,117,73.58
hbheopng-1,Cluster 8,53,40.24
hbhecgoh-1,Cluster 15,105,64.86
hcgoogko-1,Cluster 2,34,22.02
heeddeek-1,Cluster 1,55,48.93
hchdadmg-1,Cluster 2,32,16.96
hchbmmmd-1,Cluster 2,84,42.58
hchbhbfa-1,Cluster 8,51,35.39
hchddhln-1,Cluster 1,64,38.44
heeafcab-1,Cluster 23,53,43.76
hedodecb-1,Cluster 1,55,46.73
hcgpmeon-1,Cluster 2,57,28.41
hchgngeb-1,Cluster 2,224,114.15
heedojfa-1,Cluster 1,75,45.61
afjfjnga-1,Cluster 23,80,42.25
hchphopj-1,Cluster 1,83,31.06
hchhchcb-1,Cluster 8,18,11.07
heeenbba-1,Cluster 13,61,31.79
hchglchl-1,Cluster 2,72,37.67
afjeapag-1,Cluster 23,66,102.54
hchfcbkg-1,Cluster 2,102,44.12
hchajjoa-1,Cluster 13,273,135.49
hedpnjjd-1,Cluster 13,98,85.41
ehffifgb-1,Cluster 1,53,40.18
agbedkkd-1,Cluster 13,241,111.13
agbfedeg-1,Cluster 1,100,54.86
agblbmof-1,Cluster 13,209,93.70
agbeojed-1,Cluster 23,71,42.06
agbmebpl-1,Cluster 23,21,11.43
agbeimmp-1,Cluster 13,87,42.61
agbikdoo-1,Cluster 1,50,41.86
agbilnmh-1,Cluster 1,32,29.53
agbijebo-1,Cluster 1,55,33.19
agbkibin-1,Cluster 1,40,30.26
agbodbgc-1,Cluster 13,182,84.28
ehficaic-1,Cluster 1,56,32.13
ehfipgpa-1,Cluster 17,82,35.69
ehfjkcmn-1,Cluster 13,77,40.95
ehfgnffa-1,Cluster 1,53,48.81
ehfgkjgo-1,Cluster 1,31,29.63
efofedoa-1,Cluster 23,137,65.51
agbdokca-1,Cluster 13,288,140.13
ehfjaefk-1,Cluster 13,72,39.54
agbkpgoh-1,Cluster 13,59,30.31
agcannen-1,Cluster 23,56,41.45
afienjop-1,Cluster 1,46,31.98
afhkmnke-1,Cluster 8,35,26.60
agcaloeh-1,Cluster 23,41,19.87
agbpmgjb-1,Cluster 13,83,63.90
agbpajpk-1,Cluster 1,64,37.41
afiioajp-1,Cluster 1,79,59.05
afiimejn-1,Cluster 2,40,44.68
afjckjpb-1,Cluster 13,202,105.20
afijgnbc-1,Cluster 1,58,36.88
agccbgob-1,Cluster 13,124,53.76
agccabod-1,Cluster 13,243,134.62
ehfafgdg-1,Cluster 1,108,73.40
ehfeaoga-1,Cluster 1,71,44.27
ehfdjonn-1,Cluster 2,51,20.73
ehfbiopg-1,Cluster 1,96,48.23
ehfahiaf-1,Cluster 2,141,64.90
agbokdbp-1,Cluster 1,68,27.07
ehfbpeig-1,Cluster 2,28,14.83
afhnlcce-1,Cluster 1,72,57.08
agbpmdhf-1,Cluster 1,79,45.25
aficcggm-1,Cluster 23,33,45.87
hemamhgm-1,Cluster 13,48,34.28
hedjacon-1,Cluster 13,63,29.31
hednjbfb-1,Cluster 17,92,58.92
hemfcbhm-1,Cluster 17,117,53.78
hecognld-1,Cluster 17,33,29.36
hedefggg-1,Cluster 17,108,73.09
hembahnd-1,Cluster 1,48,33.42
hedkigna-1,Cluster 1,58,38.63
hecpbech-1,Cluster 1,57,55.00
hemifhme-1,Cluster 1,44,34.79
hecppeoj-1,Cluster 1,43,23.98
hedhgbfj-1,Cluster 2,44,29.47
afjddnaa-1,Cluster 13,198,125.80
hednkfai-1,Cluster 13,116,130.07
hecphfni-1,Cluster 13,121,142.51
afiodmmi-1,Cluster 23,48,43.93
helkbeck-1,Cluster 13,45,70.34
hembecmh-1,Cluster 13,139,79.73
